Epoch 61. Train Loss: 0.172769, Train Acc: 0.944713, Valid Loss: 0.400897, Valid Acc: 0.879945, Time 00:01:06
Epoch 62. Train Loss: 0.173306, Train Acc: 0.944393, Valid Loss: 0.387278, Valid Acc: 0.889241, Time 00:01:06
Epoch 63. Train Loss: 0.171272, Train Acc: 0.945392, Valid Loss: 0.400710, Valid Acc: 0.876286, Time 00:01:06
Epoch 64. Train Loss: 0.175757, Train Acc: 0.944293, Valid Loss: 0.489593, Valid Acc: 0.862540, Time 00:01:06
Epoch 65. Train Loss: 0.169564, Train Acc: 0.945852, Valid Loss: 0.378840, Valid Acc: 0.882021, Time 00:01:06
Epoch 66. Train Loss: 0.169616, Train Acc: 0.945812, Valid Loss: 0.393773, Valid Acc: 0.883307, Time 00:01:06
Epoch 67. Train Loss: 0.168728, Train Acc: 0.946631, Valid Loss: 0.395581, Valid Acc: 0.881527, Time 00:01:06
Epoch 68. Train Loss: 0.168466, Train Acc: 0.946252, Valid Loss: 0.412111, Valid Acc: 0.875989, Time 00:01:06
Epoch 69. Train Loss: 0.167546, Train Acc: 0.946571, Valid Loss: 0.414386, Valid Acc: 0.880241, Time 00:01:06
Epoch 70. Train Loss: 0.165270, Train Acc: 0.946891, Valid Loss: 0.357516, Valid Acc: 0.893691, Time 00:01:06
Epoch 71. Train Loss: 0.168987, Train Acc: 0.946152, Valid Loss: 0.384384, Valid Acc: 0.885186, Time 00:01:06
Epoch 72. Train Loss: 0.168089, Train Acc: 0.946052, Valid Loss: 0.363897, Valid Acc: 0.886768, Time 00:01:06
Epoch 73. Train Loss: 0.164602, Train Acc: 0.946431, Valid Loss: 0.368478, Valid Acc: 0.889438, Time 00:01:06
Epoch 74. Train Loss: 0.164091, Train Acc: 0.948010, Valid Loss: 0.377210, Valid Acc: 0.884988, Time 00:01:06
Epoch 75. Train Loss: 0.157989, Train Acc: 0.950008, Valid Loss: 0.432881, Valid Acc: 0.878066, Time 00:01:06
Epoch 76. Train Loss: 0.161794, Train Acc: 0.948050, Valid Loss: 0.379031, Valid Acc: 0.883900, Time 00:01:05
Epoch 77. Train Loss: 0.161174, Train Acc: 0.948509, Valid Loss: 0.408793, Valid Acc: 0.881131, Time 00:01:06
Epoch 78. Train Loss: 0.166537, Train Acc: 0.945832, Valid Loss: 0.504241, Valid Acc: 0.864913, Time 00:01:06
Epoch 79. Train Loss: 0.164831, Train Acc: 0.947530, Valid Loss: 0.393028, Valid Acc: 0.881032, Time 00:01:06
Epoch 80. Train Loss: 0.155887, Train Acc: 0.950388, Valid Loss: 0.467766, Valid Acc: 0.866100, Time 00:01:06
Epoch 81. Train Loss: 0.165171, Train Acc: 0.947470, Valid Loss: 0.440193, Valid Acc: 0.875099, Time 00:01:06
Epoch 82. Train Loss: 0.155071, Train Acc: 0.950268, Valid Loss: 0.455535, Valid Acc: 0.876384, Time 00:01:06
Epoch 83. Train Loss: 0.159399, Train Acc: 0.948889, Valid Loss: 0.382090, Valid Acc: 0.883406, Time 00:01:06
Epoch 84. Train Loss: 0.157427, Train Acc: 0.950248, Valid Loss: 0.380885, Valid Acc: 0.879648, Time 00:01:06
Epoch 85. Train Loss: 0.160336, Train Acc: 0.949588, Valid Loss: 0.357423, Valid Acc: 0.894284, Time 00:01:06
Epoch 86. Train Loss: 0.158174, Train Acc: 0.948609, Valid Loss: 0.427892, Valid Acc: 0.872231, Time 00:01:06
Epoch 87. Train Loss: 0.161098, Train Acc: 0.948609, Valid Loss: 0.416975, Valid Acc: 0.883604, Time 00:01:06
Epoch 88. Train Loss: 0.157437, Train Acc: 0.950508, Valid Loss: 0.364718, Valid Acc: 0.892306, Time 00:01:06
Epoch 89. Train Loss: 0.154181, Train Acc: 0.950188, Valid Loss: 0.386904, Valid Acc: 0.884494, Time 00:01:06
Epoch 90. Train Loss: 0.157013, Train Acc: 0.950228, Valid Loss: 0.467163, Valid Acc: 0.860166, Time 00:01:06
Epoch 91. Train Loss: 0.159399, Train Acc: 0.949708, Valid Loss: 0.374091, Valid Acc: 0.889933, Time 00:01:06
Epoch 92. Train Loss: 0.152257, Train Acc: 0.951906, Valid Loss: 0.405423, Valid Acc: 0.882812, Time 00:01:06
Epoch 93. Train Loss: 0.156314, Train Acc: 0.949968, Valid Loss: 0.537347, Valid Acc: 0.854925, Time 00:01:06
Epoch 94. Train Loss: 0.153412, Train Acc: 0.951726, Valid Loss: 0.428272, Valid Acc: 0.876582, Time 00:01:06
Epoch 95. Train Loss: 0.152792, Train Acc: 0.952725, Valid Loss: 0.429004, Valid Acc: 0.878956, Time 00:01:06
Epoch 96. Train Loss: 0.158177, Train Acc: 0.949768, Valid Loss: 0.402779, Valid Acc: 0.877868, Time 00:01:06
Epoch 97. Train Loss: 0.156311, Train Acc: 0.950468, Valid Loss: 0.385754, Valid Acc: 0.884395, Time 00:01:06
Epoch 98. Train Loss: 0.150974, Train Acc: 0.951566, Valid Loss: 0.426447, Valid Acc: 0.877373, Time 00:01:06
Epoch 99. Train Loss: 0.151627, Train Acc: 0.952086, Valid Loss: 0.419451, Valid Acc: 0.884296, Time 00:01:06
Epoch 0. Train Loss: 0.070038, Train Acc: 0.978760, Valid Loss: 0.295790, Valid Acc: 0.919897, Time 00:01:01
Epoch 1. Train Loss: 0.042976, Train Acc: 0.985654, Valid Loss: 0.303386, Valid Acc: 0.923358, Time 00:01:05
Epoch 2. Train Loss: 0.034530, Train Acc: 0.988991, Valid Loss: 0.316650, Valid Acc: 0.922271, Time 00:01:06
Epoch 3. Train Loss: 0.029492, Train Acc: 0.990409, Valid Loss: 0.316531, Valid Acc: 0.922963, Time 00:01:06
Epoch 4. Train Loss: 0.027258, Train Acc: 0.991788, Valid Loss: 0.324842, Valid Acc: 0.925138, Time 00:01:06
Epoch 5. Train Loss: 0.025116, Train Acc: 0.992647, Valid Loss: 0.324848, Valid Acc: 0.924051, Time 00:01:06
Epoch 6. Train Loss: 0.023470, Train Acc: 0.992967, Valid Loss: 0.338837, Valid Acc: 0.922172, Time 00:01:06
Epoch 7. Train Loss: 0.021256, Train Acc: 0.993346, Valid Loss: 0.335349, Valid Acc: 0.925732, Time 00:01:06
Epoch 8. Train Loss: 0.018547, Train Acc: 0.994405, Valid Loss: 0.345869, Valid Acc: 0.924051, Time 00:01:06
Epoch 9. Train Loss: 0.017678, Train Acc: 0.994885, Valid Loss: 0.353548, Valid Acc: 0.921183, Time 00:01:06
Epoch 10. Train Loss: 0.017950, Train Acc: 0.994885, Valid Loss: 0.350784, Valid Acc: 0.923952, Time 00:01:06
Epoch 11. Train Loss: 0.015706, Train Acc: 0.995384, Valid Loss: 0.365700, Valid Acc: 0.920293, Time 00:01:06
